Ano;Trimestre;Tipo;Irregularidade;Aplicação;
2018;4º;Reclamação regulada;Irregularidade na portabilidade salarial para contas de depósitos ou contas de pagamento pré-pagas;"Para as situações relacionadas à portabilidade salarial para contas de depósitos ou contas de pagamento pré-pagas, nas quais a instituição financeira ou instituição de pagamento destinatária que intermediar a comunicação deve confirmar e garantir:
- a identidade do beneficiário;
- a legitimidade da comunicação;
- a autenticidade das informações exigidas.";
2018;4º;Reclamação regulada;Irregularidades envolvendo a abertura de conta-salário;"Para os casos em que a instituição financeira, contratada para realizar serviços de pagamento de salários, proventos, soldos, vencimentos, aposentadorias, pensões e similares, não faz os respectivos créditos em conta-salário ou não cumpre as eventuais condições e restrições quanto à abertura da conta-salário.
";
2018;4º;Reclamação regulada;Irregularidades no processo de encerramento de conta de depósitos à vista;"Para as situações envolvendo o não cumprimento das condições exigidas para o encerramento de conta de depósito à vista, tais como:
- prazo para adoção das providências relacionadas à rescisão do contrato;
- expedição de aviso ao correntista.";
2018;4º;Reclamação regulada;Irregularidades no processo de encerramento de conta de pagamento;"Para as situações envolvendo o não cumprimento das condições exigidas para o encerramento de conta de pagamento, tais como expedição de aviso ao cliente.";
2018;4º;Reclamação regulada;Irregularidades relacionadas a boletos de pagamento (exceto ausência de contrato com beneficiário);"Para os casos envolvendo boletos de pagamento, tais como:
- ausência de informações mínimas obrigatórias em boletos de pagamento; 
- apresentação, não autorizada, por meio eletrônico (Débito Direto Autorizado - DDA).";
2018;4º;Reclamação regulada;Irregularidades relacionadas a cédulas ou moedas;"Para as situações relacionadas ao meio circulante, tais como:
- recusa em substituir cédulas em mau estado de conservação;
- recusa em substituir cédulas suspeita de ter sido danificada por acionamento de dispositivo antifurto, na hipóstese de saque, inclusive em terminais de autoatendimento;
- não ressarcimento ao apresentante do valor correspondente  aos exemplares declarados legítimos, após o resultado do exame do Banco Central.";
2018;4º;Reclamação regulada;Irregularidades relacionadas a operações no mercado de câmbio;"Para os casos envolvendo operações no mercado de câmbio, tais como:
- demora para aviso de recepção de ordem de pagamento do exterior;
- remessa para liquidação pronta não cumprida no prazo.";
2018;4º;Reclamação regulada;Irregularidades relacionadas a registros no Cadastro de Emitentes de Cheques sem Fundos (CCF);"Para os casos envolvendo registro incorreto por parte de instituição financeira, relacionadas à inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos (CCF), tais como: 
- inclusão indevida; 
- inclusão sem a devida comunicação ao cliente; 
- não inclusão; 
- exclusão indevida;
- não exclusão;
- descumprimento do prazo de exclusão;
- não fornecimento ao emitente de cópia de cheque incluído no CCF.";
2018;4º;Reclamação regulada;Irregularidades relacionadas ao acompanhamento de conta;"Para os casos envolvendo falhas no acompanhamento de conta de depósito por parte da instituição financeira (""conheça o seu cliente"").";
2018;4º;Reclamação regulada;Irregularidades relacionadas ao acompanhamento de conta de pagamento;"Para os casos envolvendo falhas no acompanhamento de conta de pagamento por parte da instituição financeira (""conheça o seu cliente"").";
2018;4º;Reclamação regulada;Irregularidades relacionadas ao atendimento da Ouvidoria;"Para os casos relacionados ao atendimento por parte da ouvidoria da instituição financeira, tais como:
- dificuldade de atendimento;
- encaminhamento para outros canais de atendimento já procurados pelo cliente;
- não fornecimento de protocolo de atendimento;
- recusa em fornecer esclarecimentos ou informar o prazo de resposta.";
2018;4º;Reclamação regulada;Irregularidades relacionadas ao Custo Efetivo Total (CET) de operação de crédito;"Para as situações envolvendo irregularidades relacionadas ao Custo Efetivo Total (CET) de operação de crédito, tais como: 
- ausência no contrato, de forma destacada, da planilha de cálculo do CET;
- recusa em fornecer planilha de cálculo;
- não comunicação do CET ao cliente, previamente à contratação;
- cálculo incorreto.";
2018;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de contratos de operações de crédito consignado;Para os casos envolvendo o não fornecimento ao cliente de contratos de operações de crédito consignado.;
2018;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de contratos de operações de crédito de outras modalidades, exceto crédito consignado, financiamento imobiliário e cartão de crédito.;"Para os casos envolvendo o não fornecimento ao cliente de contratos em geral, exceto aqueles relacionados às operações de crédito consignado, financiamento imobiliário e cartão de crédito.";
2018;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de contratos de operações de financiamento imobiliário;Para os casos envolvendo o não fornecimento ao cliente de contratos de operações de financiamento imobiliário.;
2018;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de demais operações de operações de crédito, exceto consignado e financiamento imobiliário;Para os casos envolvendo o não fornecimento ao cliente de boletos ou outro documento que viabilize a liquidação antecipada de operações de crédito não relacionadas a crédito consignado ou financiamento imobiliário.;
2018;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado;Para os casos envolvendo o não fornecimento ao cliente de boletos ou outro documento que viabilize a liquidação antecipada de operações de crédito consignado.;
2018;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de financiamento imobiliário;"Para os casos em que foi utilizada incorretamente pela instituição financeira a taxa de desconto no cálculo do valor presente das operações de financiamento imobiliário.
";
2018;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de documentos relativos a cartão de crédito;"Para os casos envolvendo o não fornecimento ao cliente de documentos relacionados a cartão de crédito, tais como segundas vias de fatura, contratos de adesão e faturas.";
2018;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito (pessoa natural) - exceto crédito consignado e financiamento imobiliário;"Para as situações envolvendo o não fornecimento, pela instituição financeira, em até um dia útil contado a partir da solicitação do devedor (pessoa natural), das seguintes informações relativas a demais operação de crédito, exceto as de crédito consignado e de financiamento imobiliário:
I - número do contrato;
II - saldo devedor atualizado;
III - demonstrativo da evolução do saldo devedor;
IV - modalidade;
V - taxa de juros anual, nominal e efetiva;
VI - prazo total e remanescente;
VII - sistema de pagamento;
VIII - valor de cada prestação, especificando o valor do principal e dos encargos;
IX - data do último vencimento da operação.

Não se aplica a operações de crédito consignado ou de financiamento imobiliário.";
2018;4º;Reclamação regulada;Irregularidades relacionadas ao fornecimento de informações sobre operações de crédito consignado (pessoa natural);"Para as situações envolvendo o não fornecimento, pela instituição financeira, em até um dia útil contado a partir da solicitação do devedor (pessoa natural), das seguintes informações relativas à operação de crédito consignado:
I - número do contrato;
II - saldo devedor atualizado;
III - demonstrativo da evolução do saldo devedor;
IV - modalidade;
V - taxa de juros anual, nominal e efetiva;
VI - prazo total e remanescente;
VII - sistema de pagamento;
VIII - valor de cada prestação, especificando o valor do principal e dos encargos;
IX - data do último vencimento da operação.";
