Ano;Semestre;Tipo;Irregularidade;Aplicação;
2015;1º;Reclamação não regulada;Cobranças diversas em operação de crédito consignado;"Para as situações envolvendo cobrança, por parte da instituição financeira, de parcela, já quitada, incluída no saldo devedor, em operações de crédito consignado.";
2015;1º;Reclamação regulada;Concessão de crédito (exceto consignado) sem a formalização do título adequado;"Para os casos envolvendo a concessão de crédito em todas as demais modalidades por parte da instituição financeira (exceto as de consignado), sem existir, contudo, a formalização do título constitutivo da dívida. Nesta rubrica não estão incluídas as situações relacionadas à conta de pagamento pós paga de cartões de crédito (exceto os de consignado) sem a formalização do título adequado.
";
2015;1º;Reclamação regulada;Concessão de crédito consignado mediante a formalização de título adequado com base em documentação falsa;"Para os casos envolvendo a concessão de crédito exclusivamente na modalidade consignado, por parte da instituição financeira, mediante a formalização  do título constitutivo da dívida com base em documentação falsa. Nesta rubrica não estão incluídas as situações relacionadas à conta de pagamento pós paga de cartão de crédito consignado, cujo título foi formalizado a partir de documentação falsa.
";
2015;1º;Reclamação regulada;Concessão de crédito consignado sem a formalização do título adequado;"Para os casos envolvendo a concessão de crédito exclusivamente na modalidade consignado, por parte da instituição financeira, sem existir, contudo, a formalização do título constitutivo da dívida. Nesta rubrica não estão incluídas as situações relacionadas à conta de pagamento pós paga de cartão de crédito consignado sem a formalização do título adequado.
";
2015;1º;Reclamação regulada;Concessão de demais créditos (exceto consignado) mediante a formalização de título adequado com base em documentação falsa;"Para os casos envolvendo a concessão de crédito em todas as demais modalidades por parte da instituição financeira (exceto as de consignado) mediante a formalização  do título constitutivo da dívida com base em documentação falsa. Nesta rubrica não estão incluídas as situações relacionadas à conta de pagamento pós paga de cartões de crédito (exceto os de consignado), cujo título foi formalizado a partir de documentação falsa.
";
2015;1º;Reclamação regulada;Contratação de pacote de serviços sem contrato específico;Para os casos envolvendo a contratação de pacote de serviços sem contrato específico.;
2015;1º;Reclamação não regulada;Descumprimento contratual;"Para as situações envolvendo descumprimento, por parte da instituição financeira, de cláusulas contratuais, exceto as que envolvam cartões de crédito.";
2015;1º;Reclamação não regulada;Descumprimento de ordem judicial;"Para as situações envolvendo descumprimento, por parte da instituição financeira, de ordem judicial, tais como:
- bloqueio ou desbloqueio de conta;
- fornecimento de extratos e outros documentos;
- exclusão de restrições cadastrais. ";
2015;1º;Reclamação regulada;Descumprimento de prazo de bloqueio ou de prazo de devolução de cheque;"Para os casos relacionados a: 
- descumprimento de prazo de bloqueio de cheque; 
- descumprimento de prazo de entrega de cheque devolvido ao depositante; ou 
- não remuneração pelo descumprimento por dia de atraso do prazo de desbloqueio do cheque.
";
2015;1º;Reclamação regulada;Descumprimento de prazo de resposta da reclamação registrada no BCB;"Para os casos de descumprimento do prazo de resposta por parte da instituição financeira às reclamações registradas no Banco Central do Brasil.
";
2015;1º;Reclamação regulada;Descumprimento do horário de funcionamento das instituições financeiras;"Para os casos envolvendo irregularidades relacionadas a descumprimento de horário de funcionamento das instituições financeiras, tais como:
- não divulgação do horário de funcionamento;
- não divulgação de alteração no horário de funcionamento;
- não cumprimento do horário mínimo (5 horas diárias ininterruptas, com atendimento obrigatório no período de 12h às 15h);
- suspensão do atendimento.";
2015;1º;Reclamação regulada;Descumprimento do prazo resposta da Ouvidoria;Para os casos de descumprimento do prazo por parte da Ouvidoria da insituição financeira para apresentação de resposta conclusiva à demanda registrada pelo cliente.;
2015;1º;Reclamação regulada;Débito em conta de depósito não autorizado pelo cliente;Para as situações envolvendo débitos em conta de depósito comandados pela instituição financeira sem a respectiva autorização do cliente.;
2015;1º;Reclamação não regulada;Dificuldade na liberação ou substituição de bem;"Para as situações relacionadas a bens dados em garantia, tais como:
- demora na substituição de bens dados em garantia;
- demora no fornecimento de documentos (2a via de DUT, Kit para Opção de Compra) necessários à liberação de veículo (arrendamento mercantil);
- demora na liberação de bem dado em garantia de financiamento (liberação de gravame em veículos) após a quitação da operação;
- demora na liberação de hipoteca ou alienação fiduciária de imóveis.";
2015;1º;Reclamação não regulada;Dificuldade para efetuar resgate antecipado de aplicação;Para os casos envolvendo recusa ou embaraços criados pela instituição financeira para o resgate antecipado de aplicações.;
2015;1º;Reclamação regulada;Encaminhamento de instrumento de pagamento ao domicílio não solicitado;Para os casos em que a instituição financeira encaminha  ao domicílio do cliente ou usuário instrumento de pagamento sem sua expressa solicitação ou autorização;
2015;1º;Reclamação regulada;Estorno de depósito em conta referente a cheque já liquidado;"Para os casos envolvendo o estorno, por parte da instituição financeira, de cheque depositado em conta e considerado liquidado.
";
2015;1º;Reclamação regulada;Falta de transparência na redação de documentos;"Para os casos envolvendo a não utilização de redação clara, objetiva e adequada à natureza e à complexidade da operação ou do serviço, em contratos, recibos, extratos, comprovantes e documentos destinados ao público, de forma a permitir o entendimento do conteúdo e a identificação de prazos, valores, encargos, multas, datas, locais e demais condições.";
2015;1º;Reclamação regulada;Formalização de título adequado envolvendo conta de pagamento pós paga de cartão de crédito consignado com base em documentação falsa;"Para os casos envolvendo a formalização de título adequado vinculada excluisvamente à conta de pagamento pós paga de cartão de crédito consignado com base em documentação falsa.
";
2015;1º;Reclamação regulada;Formalização de título adequado envolvendo conta de pagamento pós paga de demais cartões de crédito com base em documentação falsa;"Para os casos envolvendo a formalização de título adequado vinculada  à conta de pagamento pós paga de cartão de crédito (exceto o de consignado) com base em documentação falsa.
";
