Ano;Mês;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;Quantidade de clientes – FGC;
2015;8;Menos de dois milhões de clientes;Banco/financeira;58616418;BANCO FIBRA S A; ;0;10;20;30;119410;5441;114566;1959;
2015;8;Menos de dois milhões de clientes;Banco/financeira;61348538;BANCO FICSA S A; ;0;1;0;1;24948;1229;23723;693;
2015;8;Menos de dois milhões de clientes;Banco/financeira;62237425;BANCO FIDIS S A; ;0;0;1;1;7382;390;7033;225;
2015;8;Menos de dois milhões de clientes;Banco/financeira;90731688;BANCO FORD S A; ;0;1;0;1;507;222;291;48;
2015;8;Menos de dois milhões de clientes;Banco/financeira;10664513;BANCO GERADOR S A; ;0;0;5;5;28719;346;28413;159;
2015;8;Menos de dois milhões de clientes;Banco/financeira;07656500;BANCO KDB DO BRASIL S A; ;0;0;2;2;185;176;10;32;
2015;8;Menos de dois milhões de clientes;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S A; ;0;0;1;1;10343;3952;6668;1152;
2015;8;Menos de dois milhões de clientes;Banco/financeira;00795423;BANCO SEMEAR S A; ;0;1;0;1;149788;3051;146874;932;
2015;8;Menos de dois milhões de clientes;Banco/financeira;03215790;BANCO TOYOTA DO BRASIL S A; ;0;0;3;3;139152;14991;126954; ;
2015;8;Menos de dois milhões de clientes;Banco/financeira;17351180;BANCO TRIANGULO S A; ;0;1;0;1;210785;159005;65401;15588;
2015;8;Menos de dois milhões de clientes;Banco/financeira;15357060;BANCO WOORI BANK DO BRASIL S A; ;0;1;0;1;1243;1243;28;390;
2015;8;Menos de dois milhões de clientes;Conglomerado; ;BANCOOB (conglomerado); ;0;7;2;9;1309749;975479;395628;684975;
