Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A;Irregularidades relacionadas ao fornecimento de documento para liquidação antecipada de operações de crédito consignado;0;2;0;2;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A;Outras irregularidades relacionadas à portabilidade de operações de crédito de pessoa natural;0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A;Outros assuntos relacionados a cartão de crédito;0;0;5;5;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A;Reclamações relacionadas a assuntos diversos;0;0;3;3;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A;Renegociação de dívidas/encargos relacionadas a cartão de crédito;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;92874270;BANCO A J  RENNER S A;Restrições cadastrais;0;0;2;2;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;03532415;BANCO ABN AMRO S A;Dificuldade na liberação ou substituição de bem;0;0;3;3;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;03532415;BANCO ABN AMRO S A;Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais por recusa injustificada;0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;03532415;BANCO ABN AMRO S A;Restrições cadastrais;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;54403563;BANCO ARBI S A;Restrição à realização de portabilidade de operações de crédito consignado relativas a pessoas naturais por recusa injustificada;1;0;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A;Insatisfação com o atendimento prestado por agências;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A;Irregularidades relacionadas à compensação de documentos (exceto cheques);0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A;Outras irregularidades relacionadas à portabilidade de operações de crédito de pessoa natural;0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;09391857;BANCO AZTECA DO BRASIL S A;Restrições cadastrais;0;0;2;2;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;00997185;BANCO BM FBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S A;Irregularidades relacionadas ao fornecimento de outros documentos, exceto os relativos a cartão de crédito, contratos e liquidação antecipada;0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;00997185;BANCO BM FBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S A;Outros assuntos relacionados a cartão de crédito;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;00997185;BANCO BM FBOVESPA DE SERVICOS DE LIQUIDACAO E CUSTODIA S A;Reclamações relacionadas a assuntos diversos;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;48795256;BANCO BRACCE S A;Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR);0;1;0;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;48795256;BANCO BRACCE S A;Juros;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;48795256;BANCO BRACCE S A;Outros assuntos relacionados a cartão de crédito;0;0;1;1;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;48795256;BANCO BRACCE S A;Reclamações relacionadas a assuntos diversos;0;0;2;2;
2014;2º;Menos de dois milhões de clientes;Banco/financeira;48795256;BANCO BRACCE S A;Renegociação de dívida (exceto cartão de crédito);0;0;2;2;
