Ano;Trimestre;Categoria;Tipo;CNPJ IF;Conglomerado;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;33147315;BRADESCO;BANCO BRADESCO BERJ S.A.; 0 ;17;4;7;10;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;27098060;BRADESCO;BANCO DIGIO S.A.; 0 ;602;41;71;346;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;15011719;BRADESCO;BITZ INSTITUICAO DE PAGAMENTO S.A.; 0 ;5;0;0;3;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;07207996;BRADESCO;BANCO BRADESCO FINANCIAMENTOS S.A.; 0 ;598;89;138;385;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;06271464;BRADESCO;BANCO BRADESCO BBI S.A.; 0 ;7;1;2;4;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;04184779;BRADESCO;BANCO BRADESCARD S.A.; 0 ;767;101;165;470;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;01701201;BRADESCO;KIRTON BANK S.A. - BANCO MÚLTIPLO; 0 ;9;1;1;9;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BRB; ;230,85;3767;757;1612;1789;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;33136888;BRB;BRB - CREDITO, FINANCIAMENTO E INVESTIMENTO S/A; 0 ;923;178;318;517;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;00000208;BRB;BRB - BANCO DE BRASILIA S.A.; 0 ;2844;579;1295;1272;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;BTG PACTUAL/BANCO PAN; ;37,27;5245;288;921;1612;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;76543115;BTG PACTUAL/BANCO PAN;BANCO SISTEMA S.A.; 0 ;3;0;0;1;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;59285411;BTG PACTUAL/BANCO PAN;BANCO PAN S.A.; 0 ;4685;217;810;1255;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;44815065;BTG PACTUAL/BANCO PAN;PAY2ALL INSTITUICAO DE PAGAMENTO LTDA; 0 ;3;0;0;2;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;30306294;BTG PACTUAL/BANCO PAN;BANCO BTG PACTUAL S.A.; 0 ;530;66;106;330;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;17157777;BTG PACTUAL/BANCO PAN;BANCO NACIONAL S.A.; 0 ;2;0;0;1;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;15124464;BTG PACTUAL/BANCO PAN;BANCO BESA S.A.; 0 ;3;2;2;3;
