Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade total de reclamações respondidas;Quantidade de reclamações procedentes;Quantidade de reclamações procedentes extrapoladas;Quantidade total de reclamações analisadas;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;15111975;IUGU INSTITUIÇÃO DE PAGAMENTO S.A.;972,27;596;228;287;474;294860;292594;4954;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04230630;JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO; ;25;4;6;18;46584;0;46584;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;JP MORGAN CHASE (conglomerado); ;2;0;0;1;4242;4223;92;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;06040559;KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;7;1;1;6;411744;10;411738;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;11271860;LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;22;5;6;20;394575;9;394566;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07652226;LECCA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A;1.832,91;126;49;59;105;32080;90;31990;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;LOAN BRASIL (conglomerado); ;12;2;2;10;103;103;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;07747410;M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO; ;50;5;6;39;239296;0;239296;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;21995256;MAG INSTITUICAO DE PAGAMENTO LTDA; ;1;0;0;1;2621;2621;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MASTER (conglomerado);152,41;2934;797;1360;1575;8924862;8349606;5222989;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;11351086;MERCADO BITCOIN INSTITUICAO DE PAGAMENTO LTDA; ;8;1;2;5;22098;22098;0;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MERCADO PAGO (conglomerado);34,58;5289;653;1968;1788;56906694;56701583;9179177;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MERCANTIL DO BRASIL (conglomerado);418,83;4686;1215;3323;1710;7933181;5079168;4504397;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;MERCEDES-BENZ (conglomerado); ;6;2;4;3;17714;422;17367;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;09464032;MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;5,84;624;39;50;490;8498154;3609378;7331495;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;04379829;NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS; ;17;1;1;18;530663;707;529961;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NEON (conglomerado);20,03;1531;246;487;776;24298621;24274558;3268920;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;74828799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; ;67;9;11;55;926439;24449;922520;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NUBANK (conglomerado);15,26;10760;308;1490;2352;97624655;95945090;58151912;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;NVIO BRASIL (conglomerado); ;16;8;11;12;1280879;1280879;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;OMNI (conglomerado);21,27;242;46;48;230;2276275;15528;2264882;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;ORIGINAL (conglomerado);19,45;3773;619;1143;2053;58741124;74412039;7594963;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;78632767;OURIBANK S.A. BANCO MÚLTIPLO; ;31;7;9;25;1039336;1036529;2886;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PAGBANK-PAGSEGURO (conglomerado);104,88;6969;1127;3423;2142;32633574;32500010;1190058;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;03816413;PAGUEVELOZ INSTITUIÇÃO DE PAGAMENTO LTDA.;7,29;256;88;95;238;12977226;12977222;4;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PARANÁ BANCO (conglomerado);1.638,20;3200;536;1493;1149;911227;12234;899465;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;20757199;PAY4FUN INSTITUICAO DE PAGAMENTO S.A.; ;5;2;3;4;92800;92800;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;10878448;PAYPAL DO BRASIL INSTITUIÇÃO DE PAGAMENTO LTDA.; ;36;5;5;33;216542;216540;2;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;43180355;PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;36,63;746;293;429;510;11700247;11534216;2973030;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;17079937;PINBANK BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.; ;6;3;4;5;29282;29282;0;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PINE (conglomerado);580,42;1943;360;747;936;1287522;12124;1276090;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;PORTO SEGURO (conglomerado);87,49;913;171;273;572;3119350;9;3119350;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;36583700;QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;37;8;10;30;54204;0;54204;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;01722480;QUERO-QUERO VERDECARD INSTITUIÇÃO DE PAGAMENTO S.A.; ;40;9;11;32;672595;443884;301697;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;27351731;REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7,53;507;31;41;384;5428492;47;5428461;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RECARGAPAY (conglomerado);16,56;442;117;150;344;9058144;9057758;16161;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RENDIMENTO (conglomerado); ;31;5;6;25;291700;287819;7990;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;RODOBENS (conglomerado); ;9;0;0;7;30033;1566;28692;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Banco/financeira;06249129;RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;4;1;2;2;21000;7;20993;
2024;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SAFRA (conglomerado);85,03;2211;257;447;1288;5252943;1704842;3815379;
2024;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado; ;SANTANDER (conglomerado);34,59;15447;374;2381;2380;68807361;63103719;27062149;
