Ano;Semestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Irregularidade;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Não liberação de margem consignável - Cartão de crédito consignável;0;0;9;9;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Não liberação de margem consignável (exceto cartão de crédito consignável);0;0;480;480;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada;378;306;0;684;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Operações de entidades não fiscalizadas pelo Banco Central;0;0;17;17;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Outras irregularidades ;10;13;0;23;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Outras irregularidades relacionadas a cartões de crédito;0;4;0;4;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Outras irregularidades relacionadas a cheques;6;11;0;17;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Outras irregularidades relacionadas a tarifas;4;39;0;43;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Outras irregularidades relacionadas à portabilidade de operações de crédito de pessoa natural;8;2;0;10;
2016;2º;Mais de quatro milhões de clientes;Conglomerado; ;CAIXA ECONÔMICA FEDERAL (conglomerado);Outras irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços;774;356;0;1130;
